id,question,answer,source,answer_pred,agree,n_correct
train-000105,"Let the function $f(x) = x^3 - 3ax + b$ $(a \neq 0)$. If the curve $y = f(x)$ is tangent to the line $y = 8$ at the point $(2, f(2))$, find the value of the product $ab$.",128,제보,64,0.375,0
train-000119,"Let $A_{11}$ denote the answer to problem 11. Determine the smallest prime $p$ such that the arithmetic sequence $p, p+A_{11}, p+2 A_{11}, \ldots$ begins with the largest possible number of primes.",7,제보,2,0.125,1
train-000126,"The area of a square is added to one of its sides, and the perimeter is then subtracted from this total. The result is 4. What is the area of the square if the length of one side is 4?",4,제보,16,0.875,1
train-000136,"Nina has four times more math homework and eight times more reading homework than Ruby. If Ruby has six math homework and two reading homework, how much homework is Nina having altogether?",48,제보,40,1.0,0
train-000139,"Haman’s father has an egg business supplying the local market. On a Wednesday morning, his father sends him to go and collect 10 trays of eggs for sale from their store. While loading the eggs into the car, he accidentally drops two trays. He calls his father telling him this, and is told to add 7 more trays for sale. How many eggs were sold that day?",540,제보,450,0.5,0
train-000154,A rectangular park measuring 15 cm by 45 cm has a walking path that cuts across from one corner to the opposite corner. A triangular flowerbed is formed between the path and two sides of the rectangle. Find the area of this triangular flowerbed and round your answer to the nearest square centimeter. Assume the shorter side adjacent to the flowerbed is one-third the length of the longer side.,38,제보,338,0.625,0
train-000155,"Consider the sequence $a_n = 150 + (n+1)^2$, where $n=1,2,3,\ldots$. For each $n$, let $d_n$ be the greatest common divisor of $a_n$ and $a_{n+1}$. Determine the maximum value of $d_n$ as $n$ ranges through the positive integers.",2,제보,6,0.25,2
train-000164,"A regular $n$-sided convex polygon has $n$ exterior points, each positioned exactly one unit directly outward along the normal to each vertex. How many line segments can be drawn between all pairs of these $n$ interior and $n$ exterior points such that no endpoints are adjacent vertices?

The interior vertices form a convex polygon where each interior vertex connects to another through its diagonals or edges. The exterior points each map to a corresponding interior vertex.",530,제보,-2,0.25,0
train-000180,"A flag consists of three horizontal strips each colored either red, white, blue, green, or yellow. No two adjacent strips can have the same color. How many distinct flags can be designed under these conditions?",60,제보,80,0.625,1
train-000173,"the h.c.f. of three numbers is 59, and the other distinct prime factors of their l.c.m. are 13, 16, and 23. The largest of the three numbers is:",282256,제보,1357,0.25,0
train-000187,"If $f(1) = 3$, $f(2) = 5$, and $f(x) = ax^2 + bx + c$, find $f(3)$.",7,제보,3,0.125,2
train-000236,"There are some cookies in a jar. If there are only 28 cookies left after a week, and Paul took out the same amount each day, he took out 24 cookies in four days. How many cookies were there in the jar initially?",52,제보,70,0.875,0
